Location-To;Location-From;GCAS;Description;UOM;Type;Procurement;Safety Strategy;Safety;Rounding Value
2727;2621;83733472;ORK ULT NW 12x22 QP FC01 S5AB CRA       ;CS;FERT;P;SS;1000;60
2621;2751;83733473;ORK ULT NW 8x28 GP FC01 S5AB CRA        ;CS;FERT;P;SS;1000;70
2751;4853;83733473;ORK ULT NW 8x28 GP FC01 S5AB CRA        ;CS;FERT;P;SS;1000;70
2727;2621;83733473;ORK ULT NW 8x28 GP FC01 S5AB CRA        ;CS;FERT;P;SS;1000;70
4853;#N/D!;83733473;ORK ULT NW 8x28 GP FC01 S5AB CRA        ;CS;FERT;P;SS;1000;70
2751;9979;83733528;ORK ULT RW 12X46 GP Prospera 3 BUD      ;CS;FERT;F;SS;1000;36
4850;#N/D!;83733528;ORK ULT RW 12X46 GP Prospera 3 BUD      ;CS;FERT;P;SS;1000;36
2621;2751;83733528;ORK ULT RW 12X46 GP Prospera 3 BUD      ;CS;FERT;F;SS;1000;36
2621;2751;83733529;ORK ULT LW 12X26 QP Plus Prospera 3 BUD ;CS;FERT;F;SS;1000;55
2751;4850;83733529;ORK ULT LW 12X26 QP Plus Prospera 3 BUD ;CS;FERT;F;SS;1000;55
4853;#N/D!;83733529;ORK ULT LW 12X26 QP Plus Prospera 3 BUD ;CS;FERT;P;SS;1000;0
4850;4853;83733529;ORK ULT LW 12X26 QP Plus Prospera 3 BUD ;CS;FERT;P;SS;1000;55
2621;2751;83733530;ORK ULT LW 12X36 GP Prospera 3 BUD      ;CS;FERT;F;SS;1000;40
2751;9979;83733530;ORK ULT LW 12X36 GP Prospera 3 BUD      ;CS;FERT;F;SS;1000;40
4850;#N/D!;83733530;ORK ULT LW 12X36 GP Prospera 3 BUD      ;CS;FERT;P;SS;1000;40
2621;2751;83733531;ORK ULT LW 16X14 VP Prospera 3 BUD      ;CS;FERT;F;SS;1000;77
4850;#N/D!;83733531;ORK ULT LW 16X14 VP Prospera 3 BUD      ;CS;FERT;P;SS;1000;77
2751;9979;83733531;ORK ULT LW 16X14 VP Prospera 3 BUD      ;CS;FERT;F;SS;1000;77
2621;2751;83733532;ORK ULT NW 12X32 GP Prospera 3 BUD      ;CS;FERT;F;SS;1000;45
2751;9979;83733532;ORK ULT NW 12X32 GP Prospera 3 BUD      ;CS;FERT;F;SS;1000;45
4850;#N/D!;83733532;ORK ULT NW 12X32 GP Prospera 3 BUD      ;CS;FERT;P;SS;1000;45
2621;2751;83733533;ORK ULT NW 12X24 QP Prospera 3 BUD      ;CS;FERT;F;SS;1000;45
4850;#N/D!;83733533;ORK ULT NW 12X24 QP Prospera 3 BUD      ;CS;FERT;P;SS;1000;45
2751;9979;83733533;ORK ULT NW 12X24 QP Prospera 3 BUD      ;CS;FERT;F;SS;1000;45
2751;9979;83733534;ORK ULT NW 16X12 VP Prospera 3 BUD      ;CS;FERT;F;SS;1000;90
4850;#N/D!;83733534;ORK ULT NW 16X12 VP Prospera 3 BUD      ;CS;FERT;P;SS;1000;90
2621;2751;83733534;ORK ULT NW 16X12 VP Prospera 3 BUD      ;CS;FERT;F;SS;1000;90
4850;0;83733608;ORK ULT RW 24x8 SP FC01 GEB             ;CS;FERT;F;SS;1000;108
2727;2621;83733608;ORK ULT RW 24x8 SP FC01 GEB             ;CS;FERT;P;SS;1000;108
2751;4850;83732396;ORK ULT LW 24x8 SP Sens Prosp 3         ;CS;FERT;P;SS;1000;100
2727;2621;83731530;ORKID REG DEO ONMM 10X40 Sahika T&H     ;CS;FERT;F;SS;1000;0
4853;#N/D!;83731530;ORKID REG DEO ONMM 10X40 Sahika T&H     ;CS;FERT;P;SS;1000;110
2727;2621;83731531;ORKID CBO LNG ONMM 14X16 Sahika T&H     ;CS;FERT;F;SS;1000;0
2751;4853;83731531;ORKID CBO LNG ONMM 14X16 Sahika T&H     ;CS;FERT;F;SS;1000;126
2727;2621;83731532;ORKID CBO LNG ONMM 8X32 Sahika T&H      ;CS;FERT;F;SS;1000;0
2751;4853;83731532;ORKID CBO LNG ONMM 8X32 Sahika T&H      ;CS;FERT;F;SS;1000;108
2621;2751;83731533;ORKID LGT REG 5X(2x40) Sahika T&H       ;CS;FERT;F;SS;1000;110
2751;4853;83731533;ORKID LGT REG 5X(2x40) Sahika T&H       ;CS;FERT;F;SS;1000;110
4853;#N/D!;83731533;ORKID LGT REG 5X(2x40) Sahika T&H       ;CS;FERT;P;SS;1000;110
2727;2621;83731533;ORKID LGT REG 5X(2x40) Sahika T&H       ;CS;FERT;F;SS;1000;0
2727;2621;83731535;ORKID SIM offset DEO 18X20 Sahika       ;CS;FERT;F;SS;1000;0
2621;#N/D!;83731535;ORKID SIM offset DEO 18X20 Sahika       ;CS;FERT;P;SS;1000;200
2727;0;83731536;ORKID SIM offset DEO 15X40 Sahika       ;CS;FERT;F;SS;1000;0
2621;#N/D!;83731537;ORKID SIM offset DEO 15X60 Sahika       ;CS;FERT;P;SS;1000;100
2727;2621;83731537;ORKID SIM offset DEO 15X60 Sahika       ;CS;FERT;F;SS;1000;0
2751;9979;83731538;ORKID SIM offset NML 18X20 Sahika       ;CS;FERT;F;SS;1000;200
2727;2621;83731538;ORKID SIM offset NML 18X20 Sahika       ;CS;FERT;F;SS;1000;0
2727;2621;83731539;ORKID SIM offset NML 15X40 Sahika       ;CS;FERT;F;SS;1000;0
2751;9979;83731539;ORKID SIM offset NML 15X40 Sahika       ;CS;FERT;F;SS;1000;140
2727;2621;83731540;ORKID SIM offset NML 15X60 Sahika       ;CS;FERT;F;SS;1000;0
2751;9979;83731540;ORKID SIM offset NML 15X60 Sahika       ;CS;FERT;F;SS;1000;100
4850;4853;83731541;ORKID SIM Prima NML RPW 10X28 Sahika T&H;CS;FERT;F;SS;1000;165
2727;2621;83731541;ORKID SIM Prima NML RPW 10X28 Sahika T&H;CS;FERT;P;SS;1000;0
2751;4853;83731541;ORKID SIM Prima NML RPW 10X28 Sahika T&H;CS;FERT;P;SS;1000;165
2621;2725;83731767;ORK ULT RW 12X46 GP Prospera GEB        ;CS;FERT;P;SS;1000;36
2725;#N/D!;83731767;ORK ULT RW 12X46 GP Prospera GEB        ;CS;FERT;P;SS;1000;36
2727;#N/D!;83731767;ORK ULT RW 12X46 GP Prospera GEB        ;CS;FERT;P;SS;1000;0
2727;2621;83731768;ORK ULT RW 12X34 QP Prospera GEB        ;CS;FERT;F;SS;1000;0
2725;#N/D!;83731768;ORK ULT RW 12X34 QP Prospera GEB        ;CS;FERT;P;SS;1000;54
2621;2725;83731768;ORK ULT RW 12X34 QP Prospera GEB        ;CS;FERT;F;SS;1000;54
2725;#N/D!;83731769;ORK ULT RW 12X18 VP Prospera 2 GEB      ;CS;FERT;P;SS;1000;96
2621;2725;83731769;ORK ULT RW 12X18 VP Prospera 2 GEB      ;CS;FERT;P;SS;1000;96
2727;2621;83731769;ORK ULT RW 12X18 VP Prospera 2 GEB      ;CS;FERT;F;SS;1000;0
2725;#N/D!;83731770;ORK ULT LW 12X26 QP Plus Prospera 2 GEB ;CS;FERT;P;SS;1000;55
2727;2621;83731770;ORK ULT LW 12X26 QP Plus Prospera 2 GEB ;CS;FERT;F;SS;1000;0
2621;2725;83731770;ORK ULT LW 12X26 QP Plus Prospera 2 GEB ;CS;FERT;P;SS;1000;55
2727;2621;83731772;ORK ULT LW 12X36 GP Prospera 2 GEB      ;CS;FERT;F;SS;1000;0
2725;#N/D!;83731772;ORK ULT LW 12X36 GP Prospera 2 GEB      ;CS;FERT;P;SS;1000;40
2621;2725;83731772;ORK ULT LW 12X36 GP Prospera 2 GEB      ;CS;FERT;F;SS;1000;40
2725;#N/D!;83731773;ORK ULT LW 16X14 VP Prospera 2 GEB      ;CS;FERT;P;SS;1000;77
2751;4853;83731530;ORKID REG DEO ONMM 10X40 Sahika T&H     ;CS;FERT;F;SS;1000;110
2727;2621;83731280;ORK ULT NW 10x18 TR Prosp 2 S5AB BUD    ;CS;FERT;F;SS;1000;0
2727;#N/D!;83731281;ORK ULT NW 8x24 QR Prosp 2 S5AB BUD     ;CS;FERT;P;SS;1000;0
2621;#N/D!;83731282;ORK ULT NW 6x32 GP Prosp 2 S5AB BUD     ;CS;FERT;P;SS;1000;0
2727;2621;83731282;ORK ULT NW 6x32 GP Prosp 2 S5AB BUD     ;CS;FERT;F;SS;1000;0
5053;#N/D!;83731307;ORK THK NW 8x32 CPM iPad 2.0 TR BOR BCP ;CS;FERT;P;SS;1000;28
2751;9979;83731307;ORK THK NW 8x32 CPM iPad 2.0 TR BOR BCP ;CS;FERT;P;SS;1000;28
2621;2751;83731307;ORK THK NW 8x32 CPM iPad 2.0 TR BOR BCP ;CS;FERT;P;SS;1000;28
4850;#N/D!;83731510;ORK INF NW 12X10ct AC TR BUD            ;CS;FERT;P;SS;1000;78
2727;2621;83731510;ORK INF NW 12X10ct AC TR BUD            ;CS;FERT;F;SS;1000;0
2751;9979;83731510;ORK INF NW 12X10ct AC TR BUD            ;CS;FERT;F;SS;1000;78
2727;2621;83731511;ORK INF RW 12x10ct AC TR BUD            ;CS;FERT;F;SS;1000;0
2751;9979;83731511;ORK INF RW 12x10ct AC TR BUD            ;CS;FERT;F;SS;1000;78
4850;#N/D!;83731511;ORK INF RW 12x10ct AC TR BUD            ;CS;FERT;P;SS;1000;78
2751;9979;83731520;ORKID SIM oval SF 18X20 Sahika          ;CS;FERT;F;SS;1000;200
2727;2621;83731520;ORKID SIM oval SF 18X20 Sahika          ;CS;FERT;F;SS;1000;0
2727;2621;83731521;ORKID SIM oval SF 15X40 Sahika          ;CS;FERT;F;SS;1000;0
2751;9979;83731521;ORKID SIM oval SF 15X40 Sahika          ;CS;FERT;F;SS;1000;140
2727;2621;83731522;ORKID SIM oval SF 15X60 Sahika          ;CS;FERT;F;SS;1000;0
2751;9979;83731522;ORKID SIM oval SF 15X60 Sahika          ;CS;FERT;F;SS;1000;100
2727;2621;83731523;ORKID SIM Prima NML 18X18 Sahika        ;CS;FERT;P;SS;1000;0
2751;9979;83731523;ORKID SIM Prima NML 18X18 Sahika        ;CS;FERT;F;SS;1000;150
2727;2621;83731524;ORKID SIM Prima Angel Love 18X18 Sahika ;CS;FERT;F;SS;1000;0
2751;9979;83731524;ORKID SIM Prima Angel Love 18X18 Sahika ;CS;FERT;P;SS;1000;150
2621;2751;83731524;ORKID SIM Prima Angel Love 18X18 Sahika ;CS;FERT;P;SS;1000;150
5053;#N/D!;83731524;ORKID SIM Prima Angel Love 18X18 Sahika ;CS;FERT;P;SS;1000;150
2751;9979;83731526;ORKID SIM Prima Angel Love 8X34 Sahika  ;CS;FERT;F;SS;1000;200
4850;#N/D!;83731526;ORKID SIM Prima Angel Love 8X34 Sahika  ;CS;FERT;F;SS;1000;0
2727;2621;83731526;ORKID SIM Prima Angel Love 8X34 Sahika  ;CS;FERT;F;SS;1000;0
2727;2621;83731527;ORKID SIM Prima Angel Love 10X40 Sahika ;CS;FERT;F;SS;1000;0
4850;#N/D!;83731527;ORKID SIM Prima Angel Love 10X40 Sahika ;CS;FERT;F;SS;1000;0
2751;9979;83731527;ORKID SIM Prima Angel Love 10X40 Sahika ;CS;FERT;F;SS;1000;120
2621;2751;83731528;ORKID LGT REG 18X20 Sahika T&H          ;CS;FERT;F;SS;1000;110
2751;4853;83731528;ORKID LGT REG 18X20 Sahika T&H          ;CS;FERT;F;SS;1000;110
2727;2621;83731528;ORKID LGT REG 18X20 Sahika T&H          ;CS;FERT;F;SS;1000;0
4853;#N/D!;83731528;ORKID LGT REG 18X20 Sahika T&H          ;CS;FERT;P;SS;1000;110
4853;#N/D!;83731529;ORKID LGT REG 10X40 Sahika T&H          ;CS;FERT;P;SS;1000;110
2727;2621;83731529;ORKID LGT REG 10X40 Sahika T&H          ;CS;FERT;F;SS;1000;0
2751;4853;83731529;ORKID LGT REG 10X40 Sahika T&H          ;CS;FERT;F;SS;1000;110
2621;2751;83731529;ORKID LGT REG 10X40 Sahika T&H          ;CS;FERT;F;SS;1000;110
2621;2751;83731530;ORKID REG DEO ONMM 10X40 Sahika T&H     ;CS;FERT;F;SS;1000;110
2621;2725;83731773;ORK ULT LW 16X14 VP Prospera 2 GEB      ;CS;FERT;P;SS;1000;77
2621;2725;83732338;ORK ULT RW 12X46 GP Prospera 3 GEB      ;CS;FERT;F;SS;1000;36
2725;#N/D!;83732339;ORK ULT RW 16X10 SP Prospera 3 GEB      ;CS;FERT;P;SS;1000;132
2621;2725;83732339;ORK ULT RW 16X10 SP Prospera 3 GEB      ;CS;FERT;F;SS;1000;132
2725;#N/D!;83732340;ORK ULT RW 12X18 VP Prospera 3 GEB      ;CS;FERT;P;SS;1000;96
2727;2621;83732340;ORK ULT RW 12X18 VP Prospera 3 GEB      ;CS;FERT;F;SS;1000;0
2621;2725;83732340;ORK ULT RW 12X18 VP Prospera 3 GEB      ;CS;FERT;F;SS;1000;96
2725;#N/D!;83732341;ORK ULT RW 12X18 VP Prospera 3 BUD      ;CS;FERT;P;SS;1000;96
2621;#N/D!;83732341;ORK ULT RW 12X18 VP Prospera 3 BUD      ;CS;FERT;P;SS;1000;96
4850;#N/D!;83732341;ORK ULT RW 12X18 VP Prospera 3 BUD      ;CS;FERT;P;SS;1000;96
2727;2621;83732342;ORK ULT RW 24X14 BIM Prospera 3 GEB     ;CS;FERT;F;SS;1000;0
