Location;FPC;Forecasted Date;Weeks;Final Fcst Qty
2621;83732410;2018-02-12;2018-04-08;1645,732741
2621;83732410;2018-02-12;2018-04-15;1376,574614
2621;83732410;2018-02-12;2018-04-22;1200,920265
2621;83732410;2018-02-12;2018-04-29;2182,083419
2621;83732410;2018-02-12;2018-05-06;1548,150117
2621;83732410;2018-02-12;2018-05-13;1450,952107
2621;83732410;2018-02-12;2018-05-20;1258,097657
2621;83732410;2018-02-12;2018-05-27;1673,194553
2621;83732410;2018-02-12;2018-06-03;1182,56928
2621;83732410;2018-02-12;2018-06-10;2096,51842
2621;83732410;2018-02-12;2018-06-17;1292,869004
2621;83732410;2018-02-12;2018-06-24;1648,112172
2621;83732410;2018-02-12;2018-07-01;1939,276895
2621;83732410;2018-02-19;2018-02-25;1304,090726
2621;83732410;2018-02-19;2018-03-04;1589,744986
2621;83732410;2018-02-19;2018-03-11;1342,736662
2621;83732410;2018-02-19;2018-03-18;1290,381116
2621;83732410;2018-02-19;2018-03-25;1520,427551
2621;83732410;2018-02-19;2018-04-01;1442,590942
2621;83732410;2018-02-19;2018-04-08;1074,798499
2621;83732410;2018-02-19;2018-04-15;1075,391351
2621;83732410;2018-02-19;2018-04-22;1067,448343
2621;83732410;2018-02-19;2018-04-29;2003,682799
2621;83732410;2018-02-19;2018-05-06;1658,871131
2621;83732410;2018-02-19;2018-05-13;1208,461931
2621;83732410;2018-02-19;2018-05-20;1077,971995
2621;83732410;2018-02-19;2018-05-27;2163,289148
2621;83732410;2018-02-19;2018-06-03;1898,596507
2621;83732410;2018-02-19;2018-06-10;2017,381285
2621;83732410;2018-02-19;2018-06-17;1416,415649
2621;83732410;2018-02-19;2018-06-24;1639,863737
2621;83732410;2018-02-19;2018-07-01;2039,938419
2621;83732410;2018-02-26;2018-03-04;1782,296917
2621;83732410;2018-02-26;2018-03-11;1823,926168
2621;83732410;2018-02-26;2018-03-18;1614,700133
2621;83732410;2018-02-26;2018-03-25;1205,776596
2621;83732410;2018-02-26;2018-04-01;1547,495397
2621;83732410;2018-02-26;2018-04-08;2029,091455
2621;83732410;2018-02-26;2018-04-15;2080,388414
2621;83732410;2018-02-26;2018-04-22;2095,258238
2621;83732410;2018-02-26;2018-04-29;1269,60068
2621;83732410;2018-02-26;2018-05-06;1332,634957
2621;83732410;2018-02-26;2018-05-13;1156,798645
2621;83732410;2018-02-26;2018-05-20;1071,91338
2621;83732410;2018-02-26;2018-05-27;1728,354503
2621;83732410;2018-02-26;2018-06-03;1469,591667
2621;83732410;2018-02-26;2018-06-10;1171,894208
2621;83732410;2018-02-26;2018-06-17;1701,52115
2621;83732410;2018-02-26;2018-06-24;1588,704436
2621;83732410;2018-02-26;2018-07-01;2084,970196
2621;83732410;2018-03-05;2018-03-11;2174,891818
2621;83732410;2018-03-05;2018-03-18;2072,656668
2621;83732410;2018-03-05;2018-03-25;1205,068425
2621;83732410;2018-03-05;2018-04-01;1892,005961
2621;83732410;2018-03-05;2018-04-08;1742,608362
2621;83732410;2018-03-05;2018-04-15;1789,946655
2621;83732410;2018-03-05;2018-04-22;1887,023976
2621;83732410;2018-03-05;2018-04-29;1891,107935
2621;83732410;2018-03-05;2018-05-06;1817,89209
2621;83732410;2018-03-05;2018-05-13;1269,525619
2621;83732410;2018-03-05;2018-05-20;1036,985261
2621;83732410;2018-03-05;2018-05-27;1227,549181
2621;83732410;2018-03-05;2018-06-03;2172,806238
2621;83732410;2018-03-05;2018-06-10;1219,689842
2621;83732410;2018-03-05;2018-06-17;1529,538326
2621;83732410;2018-03-05;2018-06-24;1770,716662
2621;83732410;2018-03-05;2018-07-01;2157,472917
2621;83732410;2018-03-12;2018-03-18;1403,794706
2621;83732410;2018-03-12;2018-03-25;1208,777356
2621;83732410;2018-03-12;2018-04-01;1151,723912
2621;83732410;2018-03-12;2018-04-08;1452,461547
2621;83732410;2018-03-12;2018-04-15;1184,05442
2621;83732410;2018-03-12;2018-04-22;1478,050128
2621;83732410;2018-03-12;2018-04-29;1991,954124
2621;83732410;2018-03-12;2018-05-06;1441,935023
2621;83732410;2018-03-12;2018-05-13;2117,428211
2621;83732410;2018-03-12;2018-05-20;2041,942768
2621;83732410;2018-03-12;2018-05-27;1577,801979
2621;83732410;2018-03-12;2018-06-03;1704,808719
2621;83732410;2018-03-12;2018-06-10;1501,65406
2621;83732410;2018-03-12;2018-06-17;1585,001855
2621;83732410;2018-03-12;2018-06-24;1038,763622
2621;83732410;2018-03-12;2018-07-01;1691,507464
2621;83732410;2018-03-19;2018-03-25;1962,984048
2621;83732410;2018-03-19;2018-04-01;1222,061762
2621;83732410;2018-03-19;2018-04-08;1780,222357
2621;83732410;2018-03-19;2018-04-15;1122,711597
2621;83732410;2018-03-19;2018-04-22;1363,19373
2621;83732410;2018-03-19;2018-04-29;1778,270936
2621;83732410;2018-03-19;2018-05-06;1460,429362
2621;83732410;2018-03-19;2018-05-13;1389,214011
2621;83732410;2018-03-19;2018-05-20;1817,977339
2621;83732410;2018-03-19;2018-05-27;2164,433885
2621;83732410;2018-03-19;2018-06-03;1077,942896
2621;83732410;2018-03-19;2018-06-10;1134,716059
2621;83732410;2018-03-19;2018-06-17;1878,729245
2621;83732410;2018-03-19;2018-06-24;1777,992084
2621;83732410;2018-03-19;2018-07-01;1326,850655
2621;83732410;2018-03-26;2018-04-01;1930,117749
2621;83732410;2018-03-26;2018-04-08;2076,384923
2621;83732410;2018-03-26;2018-04-15;1398,646989
2621;83732410;2018-03-26;2018-04-22;1925,381775
2621;83732410;2018-03-26;2018-04-29;1543,477116
2621;83732410;2018-03-26;2018-05-06;1727,2869
2621;83732410;2018-03-26;2018-05-13;1169,474864
2621;83732410;2018-03-26;2018-05-20;2098,798537
2621;83732410;2018-03-26;2018-05-27;1526,180427
2621;83732410;2018-03-26;2018-06-03;1527,652353
2621;83732410;2018-03-26;2018-06-10;1399,337637
2621;83732410;2018-03-26;2018-06-17;1353,735772
2621;83732410;2018-03-26;2018-06-24;1322,767142
2621;83732410;2018-03-26;2018-07-01;1877,578084
2621;83732410;2018-04-02;2018-04-08;1845,426569
2621;83732410;2018-04-02;2018-04-15;1728,908493
2621;83732410;2018-04-02;2018-04-22;1144,140394
2621;83732410;2018-04-02;2018-04-29;1315,725663
2621;83732410;2018-04-02;2018-05-06;1028,035161
2621;83732410;2018-04-02;2018-05-13;2160,439418
2621;83732410;2018-04-02;2018-05-20;2139,007236
2621;83732410;2018-04-02;2018-05-27;1522,082821
2621;83732410;2018-04-02;2018-06-03;1612,994265
2621;83732410;2018-04-02;2018-06-10;1353,219559
2621;83732410;2018-04-02;2018-06-17;1109,871554
2621;83732410;2018-04-02;2018-06-24;1477,570439
2621;83732410;2018-04-02;2018-07-01;1827,721892
2621;83732410;2018-04-09;2018-04-15;1780,083315
2621;83732410;2018-04-09;2018-04-22;1482,503361
2621;83732410;2018-04-09;2018-04-29;1899,35718
2621;83732410;2018-04-09;2018-05-06;1282,81312
2621;83732410;2018-04-09;2018-05-13;2199,660089
2621;83732410;2018-04-09;2018-05-20;1061,596845
2621;83732410;2018-04-09;2018-05-27;1445,197826
2621;83732410;2018-04-09;2018-06-03;1407,582399
