Location;Product;Date;Customer;Quantity
2621;83723120;20170101;AYKANLAR-HPK;32,001
2621;83723120;20170101;CARREFOUR A.S.(ADANA).DEPO-1;8,5336
2621;83723120;20170101;CARREFOUR A.S.(GEBZE).DEPO-1;60,8019
2621;83723120;20170101;CARREFOUR A.S.(SAMSUN).DEPO-1;1,0667
2621;83723120;20170101;CARREFOUR A.S.(TORBALI).DEPO-1;2,1334
2621;83723120;20170101;ECZACIBASI-HAKAN LOJISTIK;2,1334
2621;83723120;20170101;HEDEF GIDA PZ. DAG SAN VE TIC;106,67
2621;83723120;20170101;HEDEF GIDA PZ. DAG SAN VE TIC;19,2006
2621;83723120;20170101;HEDEF HADIMKOY;102,4032
2621;83723120;20170101;HEDEF-CAGRI SANCAKTEPE;373,345
2621;83723120;20170101;MAKRO MARKET A.S. (ANKARA);26,6675
2621;83723120;20170101;MAKRO MARKET A.S. (KONYA);16,0005
2621;83723120;20170101;MAKRO MARKET A.S.(SAMSUN);10,667
2621;83723120;20170101;METRO GROS. B.KOY.ALIS.HIZ.TIC;704,022
2621;83723120;20170101;OZGUN GIDA KOZMETIK VE DAG. AS;59,7352
2621;83723120;20170101;OZGUN GIDA SN. AS.-2-KAYSERI;328,5436
2621;83723120;20170101;OZGUN GIDA SN. AS.-ZONGULDAK;29,8676
2621;83723120;20170101;OZGUN KOZM. GIDA SAN AS.-ANKAR;776,5576
2621;83723120;20170101;OZGUN KOZM. GIDA SAN. AS.-SAMS;119,4704
2621;83723120;20170101;REAL H.MAR.ZIN.A.S # EKOL (GE;6,4002
2621;83723120;20170101;SECKIN ONUR PAZ.SN.TIC.AS-BURS;178,1389
2621;83723120;20170101;SECKIN ONUR PAZ.SN.TIC.AS-ESKI;59,7352
2621;83723120;20170101;SECKIN ONUR PAZ.SN.TIC.AS-IZMI;14,9338
2621;83723120;20170101;SUMER LOGISTIK SAN TIC. AS-ERZ;160,005
2621;83723120;20170101;SUMER LOGISTIK SAN TIC. AS-VAN;358,4112
2621;83723120;20170101;SUMER LOJISTIK SAN.TC.AS-MARDI;507,7492
2621;83723120;20170101;YONTEM - ECOMMERCE;209,0732
2621;83723120;20170101;YONTEM KOZMETIK ANONIM SIRKETI;388,2788
2621;83723121;20170101;ADNAN ANTEP;100,8
2621;83723121;20170101;ADNAN TIC.PAZ. AS-MALATYA;100,8
2621;83723121;20170101;AYKANLAR GD SN TIC.AS-KONYA;134,4
2621;83723121;20170101;AYKANLAR IZMIR YENI;134,4
2621;83723121;20170101;AYKANLAR-HPK;10,4
2621;83723121;20170101;AYKANLAR-OZM;320
2621;83723121;20170101;BEGENDIK ANKARA;4
2621;83723121;20170101;ECZACIBASI-HAKAN LOJISTIK;4,8
2621;83723121;20170101;HEDEF GIDA PZ. DAG SAN VE TIC;71,2
2621;83723121;20170101;HEDEF GIDA PZ. DAG SAN VE TIC;4,8
2621;83723121;20170101;HEDEF HADIMKOY;60
2621;83723121;20170101;METRO GROS. B.KOY.ALIS.HIZ.TIC;588,8
2621;83723121;20170101;OZGUN GIDA KOZMETIK VE DAG. AS;33,6
2621;83723121;20170101;OZGUN GIDA SN. AS.-2-KAYSERI;168
2621;83723121;20170101;OZGUN GIDA SN. AS.-ZONGULDAK;28
2621;83723121;20170101;OZGUN KOZM. GIDA SAN AS.-ANKAR;201,6
2621;83723121;20170101;OZGUN KOZM. GIDA SAN. AS.-SAMS;33,6
2621;83723121;20170101;REAL H.MAR.ZIN.A.S # EKOL (GE;4,8
2621;83723121;20170101;SECKIN ONUR PAZ.SN.TIC.AS-BURS;268,8
2621;83723121;20170101;SECKIN ONUR PAZ.SN.TIC.AS-ESKI;67,2
2621;83723121;20170101;SECKIN ONUR PAZ.SN.TIC.AS-IZMI;33,6
2621;83723121;20170101;SUMER LOGISTIK SAN TIC. AS-ERZ;60,8
2621;83723121;20170101;SUMER LOGISTIK SAN TIC. AS-VAN;107,1664034
